ptp4l[7346717.248]: selected /dev/ptp1 as PTP clock
ptp4l[7346717.249]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346717.249]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346718.368]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346722.368]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346722.368]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346975.368]: master offset         13 s2 freq   +6365 path delay      2675
ptp4l[7346976.368]: master offset          8 s2 freq   +6364 path delay      2675
ptp4l[7346977.368]: master offset         -4 s2 freq   +6354 path delay      2675
ptp4l[7346978.369]: master offset          3 s2 freq   +6360 path delay      2674
ptp4l[7346979.368]: master offset          5 s2 freq   +6363 path delay      2674
ptp4l[7346980.368]: master offset        -25 s2 freq   +6334 path delay      2676
ptp4l[7346981.368]: master offset         18 s2 freq   +6370 path delay      2676
ptp4l[7346982.368]: master offset         -4 s2 freq   +6353 path delay      2679
ptp4l[7346983.368]: master offset          4 s2 freq   +6360 path delay      2678
ptp4l[7346984.368]: master offset        -12 s2 freq   +6345 path delay      2678
ptp4l[7346985.368]: master offset         13 s2 freq   +6366 path delay      2676
ptp4l[7346986.368]: master offset        -12 s2 freq   +6345 path delay      2678
ptp4l[7346987.368]: master offset          3 s2 freq   +6357 path delay      2678
ptp4l[7346988.368]: master offset         -2 s2 freq   +6353 path delay      2678
ptp4l[7346989.368]: master offset         -1 s2 freq   +6353 path delay      2677
ptp4l[7346990.368]: master offset        -11 s2 freq   +6343 path delay      2677
ptp4l[7346991.368]: master offset         -2 s2 freq   +6348 path delay      2677
ptp4l[7346992.368]: master offset        -15 s2 freq   +6335 path delay      2678
ptp4l[7346993.368]: master offset         -6 s2 freq   +6339 path delay      2678
ptp4l[7346994.368]: master offset         14 s2 freq   +6358 path delay      2678
ptp4l[7346995.368]: master offset         -8 s2 freq   +6340 path delay      2679
ptp4l[7346996.368]: master offset          4 s2 freq   +6349 path delay      2679
ptp4l[7346997.368]: master offset          6 s2 freq   +6353 path delay      2680
ptp4l[7346998.368]: master offset         -1 s2 freq   +6347 path delay      2680
ptp4l[7346999.368]: master offset         20 s2 freq   +6368 path delay      2678
ptp4l[7347000.368]: master offset         -6 s2 freq   +6348 path delay      2680
ptp4l[7347001.368]: master offset          0 s2 freq   +6352 path delay      2678
ptp4l[7347002.368]: master offset          5 s2 freq   +6357 path delay      2672
ptp4l[7347003.368]: master offset          9 s2 freq   +6363 path delay      2671
ptp4l[7347004.368]: master offset         -3 s2 freq   +6353 path delay      2672
ptp4l[7347005.368]: master offset         -4 s2 freq   +6352 path delay      2672
ptp4l[7347006.368]: master offset        -12 s2 freq   +6342 path delay      2672
ptp4l[7347007.368]: master offset          7 s2 freq   +6358 path delay      2671
ptp4l[7347008.368]: master offset          9 s2 freq   +6362 path delay      2671
ptp4l[7347009.368]: master offset        -21 s2 freq   +6335 path delay      2675
ptp4l[7347010.368]: master offset          5 s2 freq   +6354 path delay      2675
ptp4l[7347011.368]: master offset         -1 s2 freq   +6350 path delay      2678
ptp4l[7347012.368]: master offset          1 s2 freq   +6351 path delay      2678
ptp4l[7347013.368]: master offset         11 s2 freq   +6362 path delay      2677
ptp4l[7347014.368]: master offset          0 s2 freq   +6354 path delay      2677
ptp4l[7347015.368]: master offset         15 s2 freq   +6369 path delay      2677
ptp4l[7347016.368]: master offset         -3 s2 freq   +6356 path delay      2677
ptp4l[7347017.368]: master offset         -6 s2 freq   +6352 path delay      2677
ptp4l[7347018.368]: master offset          4 s2 freq   +6360 path delay      2675
ptp4l[7347019.368]: master offset          5 s2 freq   +6362 path delay      2674
ptp4l[7347020.368]: master offset         -5 s2 freq   +6354 path delay      2674
ptp4l[7347021.368]: master offset         -7 s2 freq   +6350 path delay      2674
ptp4l[7347022.368]: master offset        -14 s2 freq   +6341 path delay      2675
ptp4l[7347023.368]: master offset         13 s2 freq   +6364 path delay      2675
ptp4l[7347024.368]: master offset         -1 s2 freq   +6354 path delay      2677
ptp4l[7347025.368]: master offset         -2 s2 freq   +6352 path delay      2677
ptp4l[7347026.368]: master offset          0 s2 freq   +6354 path delay      2675
ptp4l[7347027.368]: master offset          4 s2 freq   +6358 path delay      2677
ptp4l[7347028.369]: master offset          5 s2 freq   +6360 path delay      2677
ptp4l[7347029.368]: master offset        -11 s2 freq   +6345 path delay      2678
ptp4l[7347030.368]: master offset         11 s2 freq   +6364 path delay      2678
ptp4l[7347031.368]: master offset          7 s2 freq   +6363 path delay      2678
ptp4l[7347032.368]: master offset         11 s2 freq   +6370 path delay      2678
ptp4l[7347033.368]: master offset        -14 s2 freq   +6348 path delay      2678
ptp4l[7347034.368]: master offset          6 s2 freq   +6364 path delay      2678
ptp4l[7347035.368]: master offset          2 s2 freq   +6361 path delay      2678
ptp4l[7347036.368]: master offset         -7 s2 freq   +6353 path delay      2678
ptp4l[7347037.368]: master offset        -16 s2 freq   +6342 path delay      2678
ptp4l[7347038.368]: master offset          1 s2 freq   +6354 path delay      2678
ptp4l[7347039.368]: master offset          6 s2 freq   +6359 path delay      2679
ptp4l[7347040.368]: master offset          7 s2 freq   +6362 path delay      2679
ptp4l[7347041.368]: master offset        -12 s2 freq   +6345 path delay      2680
ptp4l[7347042.368]: master offset         10 s2 freq   +6364 path delay      2680
ptp4l[7347043.368]: master offset          6 s2 freq   +6363 path delay      2680
ptp4l[7347044.368]: master offset         -6 s2 freq   +6353 path delay      2681
ptp4l[7347045.368]: master offset          2 s2 freq   +6359 path delay      2681
ptp4l[7347046.368]: master offset          3 s2 freq   +6360 path delay      2681
ptp4l[7347047.368]: master offset          3 s2 freq   +6361 path delay      2681
ptp4l[7347048.368]: master offset        -13 s2 freq   +6346 path delay      2680
ptp4l[7347049.368]: master offset         10 s2 freq   +6365 path delay      2678
ptp4l[7347050.368]: master offset         12 s2 freq   +6370 path delay      2678
ptp4l[7347051.368]: master offset         -4 s2 freq   +6358 path delay      2678
ptp4l[7347052.368]: master offset         -6 s2 freq   +6355 path delay      2680
ptp4l[7347053.368]: master offset         -7 s2 freq   +6352 path delay      2679
ptp4l[7347054.368]: master offset          1 s2 freq   +6358 path delay      2679
ptp4l[7347055.368]: master offset          4 s2 freq   +6361 path delay      2678
ptp4l[7347056.368]: master offset         11 s2 freq   +6369 path delay      2678
ptp4l[7347057.368]: master offset          2 s2 freq   +6364 path delay      2678
ptp4l[7347058.368]: master offset        -10 s2 freq   +6352 path delay      2678
ptp4l[7347059.368]: master offset         -2 s2 freq   +6357 path delay      2678
ptp4l[7347060.368]: master offset          1 s2 freq   +6360 path delay      2678
ptp4l[7347061.368]: master offset         10 s2 freq   +6369 path delay      2677
ptp4l[7347062.368]: master offset          1 s2 freq   +6363 path delay      2677
ptp4l[7347063.368]: master offset         -2 s2 freq   +6360 path delay      2677
ptp4l[7347064.368]: master offset         -2 s2 freq   +6360 path delay      2677
ptp4l[7347065.368]: master offset         -9 s2 freq   +6352 path delay      2677
ptp4l[7347066.368]: master offset         -1 s2 freq   +6357 path delay      2676
