ptp4l[7346664.276]: selected /dev/ptp0 as PTP clock
ptp4l[7346664.278]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346664.278]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346666.067]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346670.067]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346670.067]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346945.068]: master offset          2 s2 freq  +10974 path delay      1462
ptp4l[7346946.068]: master offset         -6 s2 freq  +10967 path delay      1464
ptp4l[7346947.068]: master offset         -5 s2 freq  +10966 path delay      1464
ptp4l[7346948.068]: master offset          5 s2 freq  +10974 path delay      1464
ptp4l[7346949.068]: master offset          7 s2 freq  +10978 path delay      1464
ptp4l[7346950.067]: master offset          1 s2 freq  +10974 path delay      1464
ptp4l[7346951.068]: master offset          0 s2 freq  +10973 path delay      1463
ptp4l[7346952.068]: master offset          1 s2 freq  +10974 path delay      1463
ptp4l[7346953.068]: master offset         11 s2 freq  +10985 path delay      1463
ptp4l[7346954.068]: master offset         -7 s2 freq  +10970 path delay      1464
ptp4l[7346955.068]: master offset          0 s2 freq  +10975 path delay      1463
ptp4l[7346956.068]: master offset          1 s2 freq  +10976 path delay      1463
ptp4l[7346957.068]: master offset         17 s2 freq  +10992 path delay      1463
ptp4l[7346958.068]: master offset         -7 s2 freq  +10973 path delay      1463
ptp4l[7346959.068]: master offset         -4 s2 freq  +10974 path delay      1463
ptp4l[7346960.068]: master offset          6 s2 freq  +10983 path delay      1463
ptp4l[7346961.068]: master offset         -3 s2 freq  +10976 path delay      1464
ptp4l[7346962.068]: master offset         -2 s2 freq  +10976 path delay      1464
ptp4l[7346963.068]: master offset          6 s2 freq  +10983 path delay      1464
ptp4l[7346964.068]: master offset          6 s2 freq  +10985 path delay      1463
ptp4l[7346965.068]: master offset          6 s2 freq  +10987 path delay      1463
ptp4l[7346966.068]: master offset         10 s2 freq  +10993 path delay      1463
ptp4l[7346967.068]: master offset          9 s2 freq  +10995 path delay      1464
ptp4l[7346968.068]: master offset        -10 s2 freq  +10978 path delay      1464
ptp4l[7346969.068]: master offset         -4 s2 freq  +10981 path delay      1464
ptp4l[7346970.068]: master offset          0 s2 freq  +10984 path delay      1464
ptp4l[7346971.068]: master offset          7 s2 freq  +10991 path delay      1463
ptp4l[7346972.068]: master offset          7 s2 freq  +10993 path delay      1464
ptp4l[7346973.068]: master offset        -19 s2 freq  +10969 path delay      1464
ptp4l[7346974.068]: master offset          3 s2 freq  +10986 path delay      1464
ptp4l[7346975.068]: master offset          1 s2 freq  +10985 path delay      1465
ptp4l[7346976.068]: master offset          8 s2 freq  +10992 path delay      1465
ptp4l[7346977.068]: master offset          0 s2 freq  +10986 path delay      1465
ptp4l[7346978.068]: master offset         -9 s2 freq  +10977 path delay      1465
ptp4l[7346979.068]: master offset          6 s2 freq  +10990 path delay      1465
ptp4l[7346980.068]: master offset          5 s2 freq  +10990 path delay      1466
ptp4l[7346981.068]: master offset         -9 s2 freq  +10978 path delay      1466
ptp4l[7346982.068]: master offset         -3 s2 freq  +10981 path delay      1466
ptp4l[7346983.068]: master offset          9 s2 freq  +10992 path delay      1465
ptp4l[7346984.068]: master offset          9 s2 freq  +10995 path delay      1465
ptp4l[7346985.068]: master offset         13 s2 freq  +11002 path delay      1466
ptp4l[7346986.068]: master offset        -14 s2 freq  +10979 path delay      1467
ptp4l[7346987.068]: master offset         -1 s2 freq  +10987 path delay      1467
ptp4l[7346988.068]: master offset          3 s2 freq  +10991 path delay      1467
ptp4l[7346989.068]: master offset          5 s2 freq  +10994 path delay      1466
ptp4l[7346990.068]: master offset         14 s2 freq  +11004 path delay      1465
ptp4l[7346991.068]: master offset         -9 s2 freq  +10986 path delay      1465
ptp4l[7346992.068]: master offset         -2 s2 freq  +10990 path delay      1464
ptp4l[7346993.068]: master offset          9 s2 freq  +11000 path delay      1464
ptp4l[7346994.068]: master offset         -8 s2 freq  +10986 path delay      1464
ptp4l[7346995.068]: master offset          8 s2 freq  +11000 path delay      1462
ptp4l[7346996.068]: master offset          1 s2 freq  +10995 path delay      1462
ptp4l[7346997.068]: master offset         -3 s2 freq  +10991 path delay      1462
ptp4l[7346998.068]: master offset         -2 s2 freq  +10991 path delay      1461
ptp4l[7346999.068]: master offset         15 s2 freq  +11008 path delay      1461
ptp4l[7347000.068]: master offset         -1 s2 freq  +10996 path delay      1462
ptp4l[7347001.068]: master offset          0 s2 freq  +10997 path delay      1464
ptp4l[7347002.068]: master offset          1 s2 freq  +10998 path delay      1465
ptp4l[7347003.067]: master offset         -8 s2 freq  +10989 path delay      1465
ptp4l[7347004.068]: master offset          5 s2 freq  +11000 path delay      1465
ptp4l[7347005.068]: master offset         -2 s2 freq  +10994 path delay      1465
ptp4l[7347006.068]: master offset          3 s2 freq  +10999 path delay      1464
ptp4l[7347007.068]: master offset         -2 s2 freq  +10995 path delay      1464
ptp4l[7347008.068]: master offset         12 s2 freq  +11008 path delay      1464
ptp4l[7347009.068]: master offset         -6 s2 freq  +10994 path delay      1464
ptp4l[7347010.068]: master offset         -7 s2 freq  +10991 path delay      1464
ptp4l[7347011.068]: master offset         20 s2 freq  +11016 path delay      1462
ptp4l[7347012.068]: master offset        -13 s2 freq  +10989 path delay      1462
ptp4l[7347013.068]: master offset          6 s2 freq  +11004 path delay      1462
ptp4l[7347014.068]: master offset         -7 s2 freq  +10993 path delay      1462
